Segment,Start,End,NGS_read_count
HA,102,1385,2
HA,1055,1095,7
HA,113,830,1
HA,1186,1360,1
HA,1216,1247,2
HA,1272,1529,2
HA,1279,1433,1
HA,1327,1517,1
HA,1505,1591,2
HA,1578,1678,2
HA,1616,1646,4
HA,164,1158,6
HA,167,676,4
HA,168,875,2
HA,172,682,2
HA,174,1169,1
HA,175,256,1
HA,178,645,2
HA,183,708,2
HA,189,1164,4
HA,189,454,2
HA,189,562,2
HA,191,1071,1
HA,191,877,1
HA,192,1074,1
HA,193,707,5
HA,199,665,9
HA,205,246,1
HA,207,1190,1
HA,212,632,6
HA,217,1647,8
HA,218,767,2
HA,244,295,21
HA,245,1543,4
HA,258,524,2
HA,261,516,1
HA,262,521,2
HA,264,792,1
HA,269,521,2
HA,270,1116,2
HA,271,1329,1
HA,275,1603,5
HA,275,884,2
HA,285,1638,1
HA,287,1640,172
HA,288,1641,1
HA,300,1619,44
HA,301,1158,2
HA,303,916,1
HA,305,455,2
HA,310,1611,2
HA,311,1250,1
HA,311,459,2
HA,324,427,1
HA,327,1518,19
HA,330,1547,2
HA,331,1545,27
HA,364,452,1
HA,374,1203,1
HA,376,1534,1
HA,397,1606,1
HA,402,1518,1
HA,404,1517,22
HA,438,1315,1
HA,444,710,2
HA,459,678,1
HA,484,1061,1
HA,487,661,1
HA,488,679,3
HA,513,1658,4
HA,565,1050,2
HA,578,1022,1
HA,615,940,2
HA,628,664,1
HA,636,732,1
HA,639,1526,2
HA,640,1160,1
HA,645,1371,2
HA,650,757,2
HA,655,944,1
HA,657,679,1
HA,676,1116,1
HA,678,1519,2
HA,681,1235,2
HA,687,1382,2
HA,687,1504,2
HA,687,764,1
HA,712,1291,1
HA,717,1437,2
HA,718,767,1
HA,750,1077,12
HA,752,1265,1
HA,760,1022,1
HA,762,972,8
HA,764,1383,3
HA,78,313,1
HA,808,852,11
HA,811,856,2
HA,820,1023,2
HA,82,150,2
HA,86,874,2
HA,877,901,2
HA,877,914,1
HA,882,920,7
