Segment,Start,End,NGS_read_count
HA,1026,1329,1
HA,106,172,1
HA,1113,1536,1
HA,1191,1561,1
HA,1216,1247,2
HA,1274,1428,2
HA,1298,1374,1
HA,1360,1499,2
HA,1368,1424,1
HA,1579,1608,2
HA,1616,1646,1
HA,163,1160,3
HA,163,1228,2
HA,171,1167,4
HA,171,1538,2
HA,175,256,1
HA,176,1211,1
HA,178,645,2
HA,183,556,2
HA,185,651,2
HA,185,668,1
HA,188,654,2
HA,189,454,4
HA,193,707,9
HA,195,460,4
HA,195,678,2
HA,199,665,10
HA,204,545,2
HA,206,1537,1
HA,212,540,2
HA,212,632,7
HA,244,295,37
HA,257,315,4
HA,258,497,2
HA,262,442,1
HA,264,792,2
HA,264,876,4
HA,268,1047,1
HA,268,1337,2
HA,268,994,1
HA,269,521,8
HA,270,487,1
HA,274,615,1
HA,279,542,4
HA,280,1620,2
HA,284,562,2
HA,285,521,2
HA,287,1640,64
HA,292,1510,2
HA,300,1619,21
HA,303,1640,1
HA,311,459,1
HA,325,1516,1
HA,327,1518,15
HA,339,1265,2
HA,368,1437,2
HA,372,562,1
HA,383,1557,2
HA,383,405,2
HA,394,444,10
HA,398,675,2
HA,404,1517,34
HA,431,1621,1
HA,444,710,7
HA,449,676,2
HA,450,1007,1
HA,459,657,2
HA,471,1503,2
HA,481,1259,2
HA,485,561,2
HA,488,679,11
HA,489,760,2
HA,510,680,2
HA,513,1186,1
HA,514,1563,2
HA,529,1070,2
HA,546,1079,1
HA,555,1609,2
HA,559,994,2
HA,565,1050,2
HA,569,1374,2
HA,575,796,1
HA,585,703,2
HA,589,1112,2
HA,606,1214,1
HA,625,680,1
HA,634,674,1
HA,639,1526,2
HA,640,1160,1
HA,652,791,2
HA,657,759,2
HA,665,1163,1
HA,668,748,2
HA,672,1014,2
HA,675,1006,1
HA,678,1519,2
HA,67,834,1
HA,681,1235,2
HA,685,1215,1
HA,686,972,2
HA,693,918,1
HA,710,975,3
HA,713,887,6
HA,723,1118,2
HA,747,1005,2
HA,750,1077,9
HA,750,1463,1
HA,752,1265,4
HA,762,972,15
HA,766,966,2
HA,781,1192,2
HA,78,176,4
HA,78,313,2
HA,808,852,21
HA,811,856,3
HA,81,150,4
HA,833,1645,4
HA,833,884,3
HA,834,950,2
HA,847,1167,2
HA,895,1661,2
HA,90,117,2
HA,91,1007,2
HA,926,1380,2
HA,937,1052,1
HA,938,1517,1
HA,93,159,34
HA,95,455,5
HA,971,1381,6
HA,987,1074,1
HA,989,1030,2
HA,989,1053,1
HA,99,165,2
M,100,887,2
M,109,265,6
M,111,379,1
M,116,271,2
M,122,895,2
M,130,401,2
M,131,620,2
M,152,178,1
M,176,867,15
M,185,423,2
M,188,390,5
M,190,465,2
M,193,221,2
M,194,396,68
M,194,425,4
M,201,394,39
M,202,224,15
M,205,391,2
M,208,638,3
M,216,396,13
M,222,708,4
M,229,458,2
M,230,409,2
M,231,267,3
M,234,265,2
M,249,520,2
M,268,365,2
M,268,368,15
M,268,640,4
M,271,423,1
M,273,601,7
M,273,675,4
M,274,371,2
M,281,355,3
M,282,473,1
M,288,977,11
M,289,619,4
M,290,885,6
M,291,364,3
M,291,382,6
M,333,407,2
M,368,641,2
M,373,434,2
M,374,632,3
M,375,517,3
M,375,565,5
M,391,649,10
M,395,425,1
M,396,439,7
M,396,534,1
M,398,677,2
M,406,659,6
M,409,659,6
M,426,643,1
M,426,658,2
M,427,596,1
M,433,637,4
M,434,659,22
M,437,644,3
M,442,638,1
M,456,659,2
M,464,647,1
M,466,884,1
M,468,601,1
M,475,550,2
M,477,858,2
M,482,506,1
M,489,534,7
M,498,857,5
M,509,641,2
M,516,604,2
M,523,545,2
M,554,630,1
M,572,633,2
M,593,629,5
M,598,630,1
M,599,625,2
M,600,622,1
M,621,675,2
M,636,658,1
M,688,742,2
M,690,1019,1
M,702,740,1
M,748,803,6
M,76,659,2
M,96,216,1
M,97,130,2
M,98,905,3
M,99,134,35
M,99,136,1
NA,1024,1231,2
NA,103,437,2
NA,1045,1099,2
NA,1172,1225,2
NA,120,416,1
NA,121,157,2
NA,1248,1345,24
NA,124,485,9
NA,126,197,1
NA,137,1258,15
NA,141,991,1
NA,146,187,1
NA,147,1147,4
NA,148,212,1
NA,155,700,2
NA,157,1004,2
NA,167,691,2
NA,168,919,2
NA,172,1309,1
NA,172,696,1
NA,173,692,4
NA,175,1042,3
NA,181,1048,2
NA,183,1002,1
NA,184,1274,1
NA,187,965,6
NA,191,692,1
NA,193,689,1
NA,198,1284,5
NA,202,1326,2
NA,203,1318,3
NA,204,1350,3
NA,208,236,2
NA,209,1335,14
NA,212,1113,2
NA,217,1270,13
NA,226,1398,5
NA,231,598,2
NA,245,475,2
NA,251,1350,2
NA,258,381,2
NA,260,437,4
NA,263,1237,28
NA,264,1071,4
NA,267,454,2
NA,268,672,2
NA,270,1016,1
NA,282,1115,1
NA,282,548,2
NA,295,963,1
NA,296,1088,1
NA,303,698,1
NA,303,710,2
NA,308,1230,1
NA,322,716,1
NA,324,670,2
NA,325,1105,2
NA,325,890,1
NA,326,527,2
NA,326,753,4
NA,332,554,4
NA,333,451,3
NA,334,535,4
NA,337,1320,15
NA,341,1176,6
NA,345,1141,2
NA,346,1133,2
NA,348,528,1
NA,353,1224,3
NA,369,477,2
NA,373,399,1
NA,373,660,1
NA,374,1116,2
NA,378,1246,1
NA,382,1024,203
NA,389,1076,2
NA,392,1284,1
NA,393,1075,2
NA,394,478,2
NA,401,1037,9
NA,413,1139,2
NA,419,699,2
NA,419,843,2
NA,41,215,1
NA,429,458,2
NA,434,708,3
NA,439,475,17
NA,446,498,4
NA,451,698,1
NA,453,557,2
NA,459,528,3
NA,460,940,4
NA,487,1055,2
NA,512,754,2
NA,513,879,2
NA,533,878,1
NA,537,714,2
NA,581,672,3
NA,583,781,12
NA,596,954,1
NA,626,746,8
NA,630,691,3
NA,651,724,2
NA,654,998,1
NA,659,1002,4
NA,661,1005,2
NA,664,768,2
NA,684,719,1
NA,684,841,1
NA,731,1074,5
NA,731,1176,1
NA,749,1071,2
NA,753,802,1
NA,760,1240,1
NA,770,870,49
NA,780,1000,1
NA,847,879,3
NA,855,1043,1
NA,871,1112,1
NA,873,961,2
NA,876,1039,2
NA,881,1060,5
NA,881,1067,1
NA,882,1018,1
NA,887,1007,2
NA,887,1073,1
NA,906,1066,4
NA,906,1110,2
NA,927,1009,7
NA,931,1064,4
NA,946,985,1
NA,976,1257,7
NA,99,569,4
NP,1007,1041,1
NP,1088,1140,2
NP,1088,1486,2
NP,1109,1167,1
NP,1133,1360,1
NP,114,882,1
NP,1164,1200,7
NP,116,864,1
NP,119,1143,2
NP,1201,1379,1
NP,1204,1472,1
NP,1206,1305,1
NP,120,476,2
NP,120,660,3
NP,1210,1301,2
NP,1211,1246,2
NP,1215,1250,2
NP,1244,1301,2
NP,1304,1332,1
NP,1307,1332,2
NP,135,338,2
NP,136,1205,2
NP,138,1128,1
NP,138,740,2
NP,1390,1508,1
NP,139,1146,2
NP,139,993,2
NP,140,912,4
NP,1442,1508,2
NP,144,1146,2
NP,144,993,1
NP,148,1120,2
NP,148,559,4
NP,148,781,3
NP,151,450,2
NP,151,907,1
NP,153,1127,2
NP,153,739,2
NP,154,1107,4
NP,158,1024,2
NP,158,1089,4
NP,161,762,1
NP,162,1204,2
NP,166,355,4
NP,167,258,1
NP,171,1087,4
NP,176,472,1
NP,183,771,2
NP,194,275,1
NP,195,276,1
NP,201,277,3
NP,202,1404,46
NP,205,1403,2
NP,210,272,2
NP,214,340,1
NP,217,1050,1
NP,219,660,2
NP,224,328,2
NP,226,989,2
NP,227,1324,2
NP,229,624,2
NP,232,1130,5
NP,232,518,2
NP,233,368,5
NP,235,1029,3
NP,238,1422,6
NP,239,1128,2
NP,241,304,2
NP,245,1091,1
NP,249,330,1
NP,268,305,2
NP,272,1289,6
NP,288,1486,12
NP,299,586,2
NP,325,1325,3
NP,326,481,3
NP,331,1015,2
NP,340,1314,6
NP,340,911,6
NP,341,638,1
NP,343,642,2
NP,345,903,3
NP,346,711,2
NP,346,983,1
NP,347,1035,2
NP,351,1041,4
NP,357,1053,4
NP,357,1185,20
NP,360,1014,2
NP,376,454,2
NP,378,722,1
NP,378,883,3
NP,379,725,1
NP,386,1062,2
NP,389,1011,1
NP,394,706,1
NP,397,1185,1
NP,39,1016,1
NP,39,902,1
NP,401,1162,2
NP,409,1246,1
NP,412,1135,6
NP,420,812,2
NP,420,831,2
NP,426,605,2
NP,433,833,1
NP,436,768,2
NP,438,970,1
NP,439,1244,2
NP,483,615,2
NP,484,1069,2
NP,48,919,2
NP,506,762,1
NP,510,1097,2
NP,514,737,1
NP,515,825,1
NP,517,1194,2
NP,517,700,1
NP,518,675,1
NP,521,850,2
NP,531,1114,2
NP,532,1065,6
NP,533,679,3
NP,537,569,3
NP,53,902,2
NP,548,646,2
NP,549,765,3
NP,550,1083,18
NP,551,708,3
NP,566,590,6
NP,572,619,2
NP,645,1174,1
NP,675,1441,2
NP,678,806,2
NP,679,1047,1
NP,683,954,1
NP,68,678,13
NP,700,939,14
NP,708,886,4
NP,70,971,2
NP,716,748,1
NP,723,794,1
NP,724,797,5
NP,750,1194,1
NP,764,848,12
NP,769,1125,2
NP,769,913,11
NP,770,1131,2
NP,773,1048,2
NP,776,839,2
NP,785,912,1
NP,793,1305,2
NP,795,1305,2
NP,797,896,3
NP,79,769,2
NP,804,1037,1
NP,804,923,4
NP,805,903,2
NP,809,1088,1
NP,814,962,4
NP,822,854,2
NP,836,872,2
NP,83,325,8
NP,841,880,1
NP,855,983,2
NP,858,1396,2
NP,859,1093,2
NP,867,1192,2
NP,893,1205,10
NP,893,1305,1
NP,895,1373,2
NP,898,987,2
NP,898,990,1
NP,900,929,3
NP,904,1166,1
NP,906,1041,3
NP,914,1044,5
NP,918,959,1
NP,937,1093,2
NP,938,966,25
NP,951,1508,2
NP,952,1090,3
NP,952,1423,6
NP,954,984,1
NP,957,1048,2
NP,967,1033,2
NP,968,1061,6
NP,969,1074,2
NP,969,1209,2
NP,984,1035,1
NP,985,1039,2
NP,987,1392,4
NS,131,706,12
NS,144,442,2
NS,182,214,2
NS,183,516,1
NS,196,238,2
NS,217,722,3
NS,218,702,6
NS,227,416,3
NS,233,777,20
NS,242,514,2
NS,247,273,2
NS,251,337,1
NS,254,655,2
NS,258,444,2
NS,261,799,2
NS,279,789,8
NS,281,608,13
NS,288,511,2
NS,305,330,1
NS,306,597,3
NS,307,625,2
NS,307,645,2
NS,309,513,13
NS,309,652,2
NS,333,397,2
NS,337,437,1
NS,347,816,6
NS,349,404,1
NS,351,531,1
NS,351,626,2
NS,356,648,3
NS,365,838,10
NS,397,601,1
NS,421,529,1
NS,465,840,2
NS,477,669,2
NS,522,547,4
NS,572,849,1
NS,579,735,1
NS,588,631,1
NS,593,648,2
NS,635,699,2
NS,636,752,2
NS,684,727,1
NS,71,150,2
PA,100,1476,4
PA,1019,1086,2
PA,1020,1695,2
PA,1024,2048,1
PA,1036,2032,2
PA,1040,1197,1
PA,1044,1686,1
PA,1048,2015,2
PA,1049,1656,1
PA,1074,1407,1
PA,1090,1748,3
PA,1096,1128,2
PA,1108,1395,1
PA,1116,1896,1
PA,1119,1636,2
PA,111,1431,2
PA,1122,1710,1
PA,1122,2037,2
PA,1131,1596,1
PA,1132,1720,1
PA,1146,1843,1
PA,1148,1463,1
PA,114,175,4
PA,1160,1335,2
PA,1168,1610,5
PA,116,1650,2
PA,1176,2096,1
PA,117,179,12
PA,117,186,2
PA,1193,1628,2
PA,119,341,1
PA,1207,2013,2
PA,121,688,6
PA,1221,1323,10
PA,1236,1590,1
PA,1239,1828,2
PA,1240,1907,1
PA,1253,1330,1
PA,1259,1835,1
PA,1264,1398,8
PA,1278,1791,2
PA,1295,1380,2
PA,1310,1391,1
PA,1315,1840,1
PA,132,1392,2
PA,133,461,3
PA,1340,1713,1
PA,1358,1397,1
PA,135,2082,1
PA,135,557,2
PA,139,326,4
PA,140,469,1
PA,1415,1469,3
PA,142,1337,9
PA,143,1015,3
PA,144,1612,2
PA,145,1292,1
PA,145,465,1
PA,1461,1563,1
PA,1479,1576,7
PA,1481,1507,1
PA,148,323,2
PA,149,1042,2
PA,149,1996,2
PA,152,1035,1
PA,152,1135,2
PA,1530,1574,1
PA,156,1795,42
PA,157,1708,1
PA,157,324,2
PA,159,1983,2
PA,159,828,2
PA,160,193,2
PA,160,206,2
PA,161,1985,140
PA,1624,1658,3
PA,1627,1839,2
PA,1660,1712,1
PA,169,1998,2
PA,1722,2050,2
PA,172,1936,142
PA,172,1977,2
PA,1739,1812,1
PA,176,2107,2
PA,1783,2093,2
PA,1844,2118,1
PA,188,2002,13
PA,1969,2045,2
PA,1975,2051,8
PA,2022,2046,1
PA,210,379,2
PA,223,1789,2
PA,226,953,2
PA,228,525,1
PA,229,309,1
PA,236,2075,4
PA,237,2017,2
PA,237,2091,4
PA,240,1064,2
PA,242,1999,1
PA,245,2031,267
PA,249,1876,25
PA,252,1989,13
PA,253,1990,2794
PA,253,1991,4
PA,253,2062,4
PA,254,1991,4
PA,255,2103,32
PA,256,2058,269
PA,260,2051,1
PA,261,802,2
PA,262,2053,1532
PA,263,2027,8
PA,263,2054,1
PA,263,2147,2
PA,265,1985,177
PA,266,379,3
PA,268,1573,1
PA,268,2022,2
PA,275,2123,203
PA,275,2146,73
PA,275,955,2
PA,277,2025,1
PA,278,2019,1
PA,278,2090,638
PA,279,2020,297
PA,279,2093,1
PA,281,2095,957
PA,281,2097,2
PA,282,2044,2
PA,283,2044,755
PA,283,2045,2
PA,285,2021,4
PA,286,2022,633
PA,287,2023,1
PA,290,314,77
PA,291,367,3
PA,296,2025,5
PA,297,2045,268
PA,300,1184,2
PA,304,2120,1
PA,306,2051,1
PA,307,2052,100
PA,308,1995,1
PA,308,2012,103
PA,308,434,2
PA,309,506,2
PA,322,1919,27
PA,326,2099,2
PA,327,2096,5
PA,327,2098,2
PA,328,2022,2
PA,328,2097,3864
PA,329,1941,77
PA,329,2022,796
PA,329,2025,2
PA,329,2098,3
PA,330,2012,2
PA,330,2099,1
PA,331,2024,2
PA,334,1998,9
PA,337,1554,1
PA,351,1924,2
PA,352,1925,8
PA,352,2032,29
PA,354,1967,156
PA,359,1094,3
PA,35,1924,1
PA,363,1870,121
PA,370,2073,189
PA,376,1998,2
PA,377,429,3
PA,378,1848,3
PA,379,1271,2
PA,388,1905,2
PA,388,1929,682
PA,389,1565,2
PA,389,1930,1
PA,389,1988,23
PA,390,1941,259
PA,391,1942,1
PA,392,1890,32
PA,397,1845,23
PA,399,1716,1
PA,402,2134,1
PA,406,2031,11
PA,409,2044,347
PA,411,1653,9
PA,413,1941,4
PA,415,1849,2
PA,419,1984,6
PA,427,1826,7
PA,428,1034,1
PA,428,1829,10
PA,432,1722,1
PA,433,1011,2
PA,433,1910,1
PA,433,983,1
PA,434,1812,1
PA,436,1766,852
PA,437,1727,85
PA,437,1944,1
PA,438,1838,2
PA,440,1729,19
PA,44,1471,1
PA,451,598,44
PA,452,1878,1
PA,459,1392,1
PA,462,536,2
PA,471,1782,1082
PA,471,1824,427
PA,472,1825,1
PA,472,1835,4
PA,473,1752,2
PA,475,1857,113
PA,476,1858,1
PA,476,1889,1
PA,477,1265,2
PA,477,1398,2
PA,477,1788,5
PA,478,1790,2
PA,479,1790,2354
PA,479,1809,1
PA,480,1791,1
PA,481,1826,3
PA,484,510,2
PA,485,1670,8
PA,492,565,1
PA,496,2017,1
PA,498,1813,3
PA,504,1812,17
PA,511,1821,1
PA,516,1161,1
PA,516,1335,3
PA,521,1076,1
PA,522,1837,1
PA,523,1932,241
PA,525,1837,148
PA,532,1776,8
PA,532,1817,21
PA,536,1941,2
PA,537,1784,3
PA,537,1789,179
PA,537,1868,1
PA,537,571,2
PA,538,1777,1
PA,538,1877,1
PA,538,2010,105
PA,53,146,1
PA,543,1801,18
PA,552,1821,22
PA,554,1791,9
PA,555,1886,2
PA,562,1784,257
PA,564,1897,2
PA,566,607,4
PA,568,1151,1
PA,569,1730,6
PA,570,1698,1
PA,571,1308,1
PA,576,1704,2
PA,579,1078,2
PA,581,1161,1
PA,581,627,1
PA,582,1013,1
PA,582,1168,2
PA,582,1336,2
PA,582,1486,2
PA,582,907,3
PA,585,1897,2
PA,588,1714,1
PA,589,1715,1
PA,591,1717,973
PA,592,1718,2
PA,593,1310,1
PA,593,1884,1
PA,593,853,2
PA,595,1192,4
PA,598,1166,2
PA,599,1158,1
PA,599,1265,1
PA,59,1960,2
PA,602,1778,172
PA,605,1287,1
PA,605,1903,623
PA,606,1904,1
PA,606,1941,33
PA,608,1784,1
PA,610,847,2
PA,618,1701,29
PA,620,1808,10
PA,622,1717,4
PA,625,1646,26
PA,632,1622,2
PA,633,1623,30
PA,645,1106,3
PA,649,1841,51
PA,654,1072,1
PA,65,146,1
PA,664,1762,4
PA,66,889,4
PA,672,1720,6
PA,677,885,2
PA,683,1860,2
PA,689,1057,2
PA,68,143,2
PA,690,1624,10
PA,693,1021,2
PA,695,1612,7
PA,697,1643,1
PA,697,1861,1
PA,704,816,7
PA,711,1580,1
PA,714,1581,131
PA,719,1502,13
PA,721,1645,3
PA,722,1812,1
PA,723,1982,2
PA,729,1041,2
PA,744,2024,2
PA,744,2111,3
PA,750,1001,1
PA,752,1196,2
PA,752,1587,31
PA,757,1384,43
PA,760,1735,20
PA,761,1581,3
PA,761,915,2
PA,774,1749,21
PA,780,1513,2
PA,811,1390,1
PA,814,1605,1
PA,815,1541,26
PA,831,1531,2
PA,851,1778,1
PA,866,942,2
PA,869,1661,19
PA,870,1765,2
PA,885,965,1
PA,891,1282,3
PA,895,1576,1
PA,897,1003,1
PA,904,2018,261
PA,929,1646,1
PA,931,1973,2
PA,934,1547,6
PA,937,1724,1
PA,989,1383,8
PA,993,1647,2
PB1,1000,1029,1
PB1,104,1568,1
PB1,1091,1660,1
PB1,1094,1127,1
PB1,112,884,2
PB1,1150,1196,6
PB1,1231,1700,1
PB1,1239,1271,2
PB1,123,2137,2
PB1,1243,1545,4
PB1,1246,1605,2
PB1,1263,1623,1
PB1,1271,1744,3
PB1,127,1844,1
PB1,127,407,1
PB1,1282,1682,3
PB1,1340,1382,2
PB1,1411,1435,1
PB1,1450,1640,1
PB1,1490,1554,4
PB1,1494,2048,2
PB1,165,2206,41
PB1,165,2249,26
PB1,166,1492,2
PB1,1695,2052,2
PB1,1699,1743,2
PB1,174,1783,2
PB1,174,1957,4
PB1,174,2200,70
PB1,1751,1968,3
PB1,176,1956,2
PB1,178,1958,1445
PB1,1800,2047,1
PB1,1815,2032,2
PB1,185,2228,35
PB1,188,2180,4
PB1,189,2210,2
PB1,190,2222,1
PB1,202,1159,2
PB1,202,1866,1
PB1,204,1868,657
PB1,205,1869,1
PB1,214,2140,338
PB1,2152,2195,1
PB1,2195,2299,24
PB1,219,2196,4
PB1,219,2207,78
PB1,221,2197,3
PB1,229,1225,2
PB1,230,2138,7
PB1,230,2156,60
PB1,230,2183,420
PB1,231,1256,6
PB1,231,2184,1
PB1,233,2144,38
PB1,233,852,15
PB1,234,2244,31
PB1,234,274,48
PB1,238,2073,2
PB1,238,2074,1
PB1,238,2166,1
PB1,239,2074,1345
PB1,239,2206,2
PB1,240,2168,37
PB1,241,1596,1
PB1,241,2076,1
PB1,241,264,4
PB1,241,339,1
PB1,244,1905,527
PB1,252,321,196
PB1,253,2268,4
PB1,254,2044,16
