Segment,Start,End,NGS_read_count
HA,1013,1037,2
HA,1014,1110,1
HA,106,774,2
HA,1076,1590,2
HA,107,174,1
HA,1113,1536,2
HA,113,218,2
HA,1170,1252,2
HA,129,1572,2
HA,129,1579,2
HA,1347,1370,2
HA,1361,1465,1
HA,1421,1476,2
HA,164,1158,2
HA,167,1229,2
HA,175,542,1
HA,188,404,1
HA,189,1164,1
HA,195,678,2
HA,199,665,3
HA,204,545,2
HA,229,1633,2
HA,233,334,1
HA,240,1596,2
HA,244,295,45
HA,247,298,1
HA,254,1026,2
HA,255,1117,2
HA,258,517,2
HA,262,521,2
HA,264,1653,2
HA,266,514,2
HA,269,519,2
HA,269,521,1
HA,270,522,1
HA,285,521,2
HA,287,1640,83
HA,287,792,1
HA,292,1510,5
HA,300,1619,20
HA,302,1421,2
HA,302,465,2
HA,309,1166,1
HA,311,459,2
HA,322,1596,2
HA,326,1561,2
HA,327,1518,43
HA,330,1627,2
HA,341,1566,2
HA,345,1666,1
HA,346,1588,2
HA,350,1596,2
HA,352,1120,2
HA,356,1499,2
HA,361,1545,2
HA,362,1501,2
HA,378,1639,2
HA,387,1512,1
HA,398,1511,2
HA,403,1425,1
HA,404,1517,51
HA,443,1510,2
HA,446,1372,2
HA,446,1422,1
HA,451,533,1
HA,453,1458,1
HA,453,1731,2
HA,459,1485,1
HA,460,1509,1
HA,466,1446,1
HA,468,1448,2
HA,472,1529,3
HA,486,1116,1
HA,491,1525,2
HA,512,1401,1
HA,516,961,2
HA,529,1070,1
HA,546,1130,1
HA,553,1344,1
HA,557,1422,1
HA,559,1284,1
HA,560,632,1
HA,564,1464,2
HA,565,1050,1
HA,587,939,1
HA,597,1370,1
HA,617,1253,2
HA,629,739,2
HA,633,884,1
HA,636,732,1
HA,642,1526,1
HA,643,1160,1
HA,645,1371,2
HA,657,1519,1
HA,686,972,3
HA,688,730,1
HA,705,997,2
HA,706,1115,1
HA,708,916,2
HA,710,975,2
HA,727,1257,2
HA,743,1185,2
HA,750,1077,8
HA,760,1022,1
HA,762,972,8
HA,766,855,1
HA,768,1213,2
HA,778,1539,2
HA,780,1105,1
HA,787,827,1
HA,792,877,2
HA,797,822,1
HA,819,956,3
HA,820,1134,1
HA,820,1198,3
HA,826,1191,2
HA,834,950,3
HA,838,1163,1
HA,840,1270,2
HA,849,1250,4
HA,878,1092,2
HA,928,971,2
HA,93,159,2
HA,943,1079,1
HA,94,1563,2
HA,958,1056,1
HA,969,1405,2
HA,987,1074,1
HA,993,1055,2
M,124,772,2
M,184,495,4
M,188,390,9
M,194,396,130
M,201,394,41
M,205,391,2
M,209,815,1
M,211,391,1
M,216,396,23
M,230,409,1
M,244,274,1
M,288,977,12
M,289,903,1
M,290,885,12
M,292,727,2
M,303,634,3
M,329,459,2
M,358,389,2
M,362,731,1
M,373,434,2
M,375,517,6
M,390,680,2
M,391,649,7
M,395,424,1
M,396,439,5
M,396,622,2
M,404,473,1
M,406,439,2
M,409,659,4
M,425,629,1
M,425,645,1
M,426,643,5
M,426,658,3
M,433,637,4
M,434,659,25
M,438,554,1
M,441,643,1
M,466,884,2
M,475,550,2
M,490,712,2
M,526,644,2
M,551,639,1
M,569,662,2
M,579,624,1
M,592,625,3
M,593,629,3
M,599,625,1
M,645,720,1
M,683,825,2
M,711,785,2
M,788,833,2
M,81,216,2
M,833,885,2
M,88,771,1
M,99,134,2
NA,100,1299,2
NA,1054,1146,2
NA,1107,1168,1
NA,1115,1151,2
NA,1172,1225,5
NA,1211,1242,1
NA,1225,1278,2
NA,1228,1258,2
NA,125,1273,2
NA,127,580,1
NA,1296,1345,2
NA,130,1196,2
NA,137,1258,2
NA,149,1204,2
NA,149,998,2
NA,150,1324,2
NA,155,482,1
NA,165,1304,2
NA,168,1318,2
NA,173,692,11
NA,180,1187,2
NA,187,965,4
NA,194,834,1
NA,195,1123,1
NA,195,1257,2
NA,202,1326,2
NA,203,1275,3
NA,203,1318,4
NA,204,1306,1
NA,204,1350,1
NA,204,236,1
NA,209,1335,2
NA,211,1255,4
NA,212,1113,4
NA,214,1319,2
NA,221,1247,3
NA,227,1327,2
NA,232,1111,2
NA,233,1077,2
NA,238,273,1
NA,249,1328,2
NA,251,1350,1
NA,260,1212,4
NA,265,1244,2
NA,272,562,1
NA,273,769,4
NA,274,1090,2
NA,274,1140,2
NA,274,1168,2
NA,275,1111,2
NA,275,1231,2
NA,276,957,2
NA,280,621,1
NA,297,564,2
NA,300,1051,2
NA,307,846,1
NA,308,1166,2
NA,310,1329,1
NA,316,533,1
NA,320,1228,2
NA,321,634,2
NA,321,959,4
NA,322,716,2
NA,324,759,2
NA,326,753,5
NA,330,1115,4
NA,331,934,2
NA,333,606,2
NA,333,878,1
NA,334,535,5
NA,342,604,2
NA,344,564,2
NA,345,1143,4
NA,345,1248,2
NA,349,880,3
NA,353,1172,2
NA,353,1211,2
NA,355,650,1
NA,356,1038,1
NA,356,1214,2
NA,357,493,2
